Pixel Value, K index, L index
162, 0, 0
160, 0, 0
163, 0, 0
160, 0, 0
158, 0, 0
158, 0, 0
157, 0, 0
155, 0, 0
160, 0, 0
159, 0, 0
160, 0, 0
159, 0, 0
155, 0, 0
156, 0, 0
155, 0, 0
153, 0, 0
157, 0, 0
156, 0, 0
157, 0, 0
157, 0, 0
156, 0, 0
156, 0, 0
156, 0, 0
154, 0, 0
157, 0, 0
156, 0, 0
156, 0, 0
156, 0, 0
157, 0, 0
157, 0, 0
156, 0, 0
154, 0, 0
156, 0, 0
156, 0, 0
156, 0, 0
157, 0, 0
158, 0, 0
158, 0, 0
156, 0, 0
155, 0, 0
155, 0, 0
154, 0, 0
158, 0, 0
158, 0, 0
158, 0, 0
158, 0, 0
156, 0, 0
155, 0, 0
156, 0, 0
157, 0, 0
158, 0, 0
160, 0, 0
158, 0, 0
159, 0, 0
158, 0, 0
158, 0, 0
158, 0, 0
158, 0, 0
158, 0, 0
160, 0, 0
160, 0, 0
160, 0, 0
161, 0, 0
164, 0, 0
162, 0, 1
160, 0, 1
163, 0, 1
160, 0, 1
158, 0, 1
158, 0, 1
157, 0, 1
155, 0, 1
160, 0, 1
159, 0, 1
160, 0, 1
159, 0, 1
155, 0, 1
156, 0, 1
155, 0, 1
153, 0, 1
157, 0, 1
156, 0, 1
157, 0, 1
157, 0, 1
156, 0, 1
156, 0, 1
156, 0, 1
154, 0, 1
157, 0, 1
156, 0, 1
156, 0, 1
156, 0, 1
157, 0, 1
157, 0, 1
156, 0, 1
154, 0, 1
156, 0, 1
156, 0, 1
156, 0, 1
157, 0, 1
158, 0, 1
158, 0, 1
156, 0, 1
155, 0, 1
155, 0, 1
154, 0, 1
158, 0, 1
158, 0, 1
158, 0, 1
158, 0, 1
156, 0, 1
155, 0, 1
156, 0, 1
157, 0, 1
158, 0, 1
160, 0, 1
158, 0, 1
159, 0, 1
158, 0, 1
158, 0, 1
158, 0, 1
158, 0, 1
158, 0, 1
160, 0, 1
160, 0, 1
160, 0, 1
161, 0, 1
164, 0, 1
162, 0, 2
160, 0, 2
163, 0, 2
160, 0, 2
158, 0, 2
158, 0, 2
157, 0, 2
155, 0, 2
160, 0, 2
159, 0, 2
160, 0, 2
159, 0, 2
155, 0, 2
156, 0, 2
155, 0, 2
153, 0, 2
157, 0, 2
156, 0, 2
157, 0, 2
157, 0, 2
156, 0, 2
156, 0, 2
156, 0, 2
154, 0, 2
157, 0, 2
156, 0, 2
156, 0, 2
156, 0, 2
157, 0, 2
157, 0, 2
156, 0, 2
154, 0, 2
156, 0, 2
156, 0, 2
156, 0, 2
157, 0, 2
158, 0, 2
158, 0, 2
156, 0, 2
155, 0, 2
155, 0, 2
154, 0, 2
158, 0, 2
158, 0, 2
158, 0, 2
158, 0, 2
156, 0, 2
155, 0, 2
156, 0, 2
157, 0, 2
158, 0, 2
160, 0, 2
158, 0, 2
159, 0, 2
158, 0, 2
158, 0, 2
158, 0, 2
158, 0, 2
158, 0, 2
160, 0, 2
160, 0, 2
160, 0, 2
161, 0, 2
164, 0, 2
162, 0, 3
160, 0, 3
163, 0, 3
160, 0, 3
158, 0, 3
158, 0, 3
157, 0, 3
155, 0, 3
160, 0, 3
159, 0, 3
160, 0, 3
159, 0, 3
155, 0, 3
156, 0, 3
155, 0, 3
153, 0, 3
157, 0, 3
156, 0, 3
157, 0, 3
157, 0, 3
156, 0, 3
156, 0, 3
156, 0, 3
154, 0, 3
157, 0, 3
156, 0, 3
156, 0, 3
156, 0, 3
157, 0, 3
157, 0, 3
156, 0, 3
154, 0, 3
156, 0, 3
156, 0, 3
156, 0, 3
157, 0, 3
158, 0, 3
158, 0, 3
156, 0, 3
155, 0, 3
155, 0, 3
154, 0, 3
158, 0, 3
158, 0, 3
158, 0, 3
158, 0, 3
156, 0, 3
155, 0, 3
156, 0, 3
157, 0, 3
158, 0, 3
160, 0, 3
158, 0, 3
159, 0, 3
158, 0, 3
158, 0, 3
158, 0, 3
158, 0, 3
158, 0, 3
160, 0, 3
160, 0, 3
160, 0, 3
161, 0, 3
164, 0, 3
162, 0, 4
160, 0, 4
163, 0, 4
160, 0, 4
158, 0, 4
158, 0, 4
157, 0, 4
155, 0, 4
160, 0, 4
159, 0, 4
160, 0, 4
159, 0, 4
155, 0, 4
156, 0, 4
155, 0, 4
153, 0, 4
157, 0, 4
156, 0, 4
157, 0, 4
157, 0, 4
156, 0, 4
156, 0, 4
156, 0, 4
154, 0, 4
157, 0, 4
156, 0, 4
156, 0, 4
156, 0, 4
157, 0, 4
157, 0, 4
156, 0, 4
154, 0, 4
156, 0, 4
156, 0, 4
156, 0, 4
157, 0, 4
158, 0, 4
158, 0, 4
156, 0, 4
155, 0, 4
155, 0, 4
154, 0, 4
158, 0, 4
158, 0, 4
158, 0, 4
158, 0, 4
156, 0, 4
155, 0, 4
156, 0, 4
157, 0, 4
158, 0, 4
160, 0, 4
158, 0, 4
159, 0, 4
158, 0, 4
158, 0, 4
158, 0, 4
158, 0, 4
158, 0, 4
160, 0, 4
160, 0, 4
160, 0, 4
161, 0, 4
164, 0, 4
162, 0, 5
160, 0, 5
163, 0, 5
160, 0, 5
158, 0, 5
158, 0, 5
157, 0, 5
155, 0, 5
160, 0, 5
159, 0, 5
160, 0, 5
159, 0, 5
155, 0, 5
156, 0, 5
155, 0, 5
153, 0, 5
157, 0, 5
156, 0, 5
157, 0, 5
157, 0, 5
156, 0, 5
156, 0, 5
156, 0, 5
154, 0, 5
157, 0, 5
156, 0, 5
156, 0, 5
156, 0, 5
157, 0, 5
157, 0, 5
156, 0, 5
154, 0, 5
156, 0, 5
156, 0, 5
156, 0, 5
157, 0, 5
158, 0, 5
158, 0, 5
156, 0, 5
155, 0, 5
155, 0, 5
154, 0, 5
158, 0, 5
158, 0, 5
158, 0, 5
158, 0, 5
156, 0, 5
155, 0, 5
156, 0, 5
157, 0, 5
158, 0, 5
160, 0, 5
158, 0, 5
159, 0, 5
158, 0, 5
158, 0, 5
158, 0, 5
158, 0, 5
158, 0, 5
160, 0, 5
160, 0, 5
160, 0, 5
161, 0, 5
164, 0, 5
162, 0, 6
160, 0, 6
163, 0, 6
160, 0, 6
158, 0, 6
158, 0, 6
157, 0, 6
155, 0, 6
160, 0, 6
159, 0, 6
160, 0, 6
159, 0, 6
155, 0, 6
156, 0, 6
155, 0, 6
153, 0, 6
157, 0, 6
156, 0, 6
157, 0, 6
157, 0, 6
156, 0, 6
156, 0, 6
156, 0, 6
154, 0, 6
157, 0, 6
156, 0, 6
156, 0, 6
156, 0, 6
157, 0, 6
157, 0, 6
156, 0, 6
154, 0, 6
156, 0, 6
156, 0, 6
156, 0, 6
157, 0, 6
158, 0, 6
158, 0, 6
156, 0, 6
155, 0, 6
155, 0, 6
154, 0, 6
158, 0, 6
158, 0, 6
158, 0, 6
158, 0, 6
156, 0, 6
155, 0, 6
156, 0, 6
157, 0, 6
158, 0, 6
160, 0, 6
158, 0, 6
159, 0, 6
158, 0, 6
158, 0, 6
